path,method,role,status,content_type,schema
/api/v2/admin/dhan/status,GET,GUEST,401,application/json,json
/api/v2/admin/dhan/status,GET,SUPER_ADMIN,200,application/json,json
/api/v2/admin/dhan/status,GET,ADMIN,200,application/json,json
/api/v2/admin/dhan/status,GET,USER,403,application/json,json
/api/v2/admin/dhan/status,GET,SUPER_USER,403,application/json,json
/api/v2/admin/dhan/connect,POST,GUEST,ERR,,ReadTimeout
/api/v2/admin/dhan/connect,POST,SUPER_ADMIN,ERR,,ReadTimeout
/api/v2/admin/dhan/connect,POST,ADMIN,ERR,,ReadTimeout
/api/v2/admin/dhan/connect,POST,USER,ERR,,ReadTimeout
/api/v2/admin/dhan/connect,POST,SUPER_USER,ERR,,ReadTimeout
/api/v2/admin/dhan/disconnect,POST,GUEST,200,application/json,json
/api/v2/admin/dhan/disconnect,POST,SUPER_ADMIN,200,application/json,json
/api/v2/admin/dhan/disconnect,POST,ADMIN,200,application/json,json
/api/v2/admin/dhan/disconnect,POST,USER,200,application/json,json
/api/v2/admin/dhan/disconnect,POST,SUPER_USER,200,application/json,json
/api/v2/admin/dhan/subscriptions,GET,GUEST,200,application/json,json
/api/v2/admin/dhan/subscriptions,GET,SUPER_ADMIN,200,application/json,json
/api/v2/admin/dhan/subscriptions,GET,ADMIN,200,application/json,json
/api/v2/admin/dhan/subscriptions,GET,USER,200,application/json,json
/api/v2/admin/dhan/subscriptions,GET,SUPER_USER,200,application/json,json
/api/v2/admin/positions/userwise,GET,GUEST,401,application/json,json
/api/v2/admin/positions/userwise,GET,SUPER_ADMIN,200,application/json,json
/api/v2/admin/positions/userwise,GET,ADMIN,200,application/json,json
/api/v2/admin/positions/userwise,GET,USER,403,application/json,json
/api/v2/admin/positions/userwise,GET,SUPER_USER,403,application/json,json
/api/v2/admin/brokerage-plans/{plan_id},PUT,GUEST,401,application/json,json
/api/v2/admin/brokerage-plans/{plan_id},PUT,SUPER_ADMIN,400,application/json,json
/api/v2/admin/brokerage-plans/{plan_id},PUT,ADMIN,403,application/json,json
/api/v2/admin/brokerage-plans/{plan_id},PUT,USER,403,application/json,json
/api/v2/admin/brokerage-plans/{plan_id},PUT,SUPER_USER,403,application/json,json
/api/v2/admin/brokerage-plans/{plan_id},DELETE,GUEST,401,application/json,json
/api/v2/admin/brokerage-plans/{plan_id},DELETE,SUPER_ADMIN,400,application/json,json
/api/v2/admin/brokerage-plans/{plan_id},DELETE,ADMIN,403,application/json,json
/api/v2/admin/brokerage-plans/{plan_id},DELETE,USER,403,application/json,json
/api/v2/admin/brokerage-plans/{plan_id},DELETE,SUPER_USER,403,application/json,json
/api/v2/admin/users/{user_id}/brokerage-plans,POST,GUEST,401,application/json,json
/api/v2/admin/users/{user_id}/brokerage-plans,POST,SUPER_ADMIN,500,text/plain; charset=utf-8,non-json
/api/v2/admin/users/{user_id}/brokerage-plans,POST,ADMIN,500,text/plain; charset=utf-8,non-json
/api/v2/admin/users/{user_id}/brokerage-plans,POST,USER,403,application/json,json
/api/v2/admin/users/{user_id}/brokerage-plans,POST,SUPER_USER,403,application/json,json
/api/v2/admin/users/{user_id}/soft-delete,POST,GUEST,401,application/json,json
/api/v2/admin/users/{user_id}/soft-delete,POST,SUPER_ADMIN,500,text/plain; charset=utf-8,non-json
/api/v2/admin/users/{user_id}/soft-delete,POST,ADMIN,403,application/json,json
/api/v2/admin/users/{user_id}/soft-delete,POST,USER,403,application/json,json
/api/v2/admin/users/{user_id}/soft-delete,POST,SUPER_USER,403,application/json,json
/api/v2/admin/users/archived,GET,GUEST,401,application/json,json
/api/v2/admin/users/archived,GET,SUPER_ADMIN,500,text/plain; charset=utf-8,non-json
/api/v2/admin/users/archived,GET,ADMIN,500,text/plain; charset=utf-8,non-json
/api/v2/admin/users/archived,GET,USER,403,application/json,json
/api/v2/admin/users/archived,GET,SUPER_USER,403,application/json,json
/api/v2/admin/users/{user_id}/positions/delete-all,POST,GUEST,401,application/json,json
/api/v2/admin/users/{user_id}/positions/delete-all,POST,SUPER_ADMIN,500,text/plain; charset=utf-8,non-json
/api/v2/admin/users/{user_id}/positions/delete-all,POST,ADMIN,403,application/json,json
/api/v2/admin/users/{user_id}/positions/delete-all,POST,USER,403,application/json,json
/api/v2/admin/users/{user_id}/positions/delete-all,POST,SUPER_USER,403,application/json,json
/api/v2/admin/users/{user_id}/positions/delete-specific,POST,GUEST,401,application/json,json
/api/v2/admin/users/{user_id}/positions/delete-specific,POST,SUPER_ADMIN,200,application/json,json
/api/v2/admin/users/{user_id}/positions/delete-specific,POST,ADMIN,403,application/json,json
/api/v2/admin/users/{user_id}/positions/delete-specific,POST,USER,403,application/json,json
/api/v2/admin/users/{user_id}/positions/delete-specific,POST,SUPER_USER,403,application/json,json
/api/v2/admin/users/{user_id}/positions,GET,GUEST,401,application/json,json
/api/v2/admin/users/{user_id}/positions,GET,SUPER_ADMIN,200,application/json,json
/api/v2/admin/users/{user_id}/positions,GET,ADMIN,200,application/json,json
/api/v2/admin/users/{user_id}/positions,GET,USER,403,application/json,json
/api/v2/admin/users/{user_id}/positions,GET,SUPER_USER,403,application/json,json
/api/v2/admin/charge-calculation/status,GET,GUEST,401,application/json,json
/api/v2/admin/charge-calculation/status,GET,SUPER_ADMIN,200,application/json,json
/api/v2/admin/charge-calculation/status,GET,ADMIN,200,application/json,json
/api/v2/admin/charge-calculation/status,GET,USER,403,application/json,json
/api/v2/admin/charge-calculation/status,GET,SUPER_USER,403,application/json,json
/api/v2/admin/charge-calculation/run,POST,GUEST,401,application/json,json
/api/v2/admin/charge-calculation/run,POST,SUPER_ADMIN,200,application/json,json
/api/v2/admin/charge-calculation/run,POST,ADMIN,200,application/json,json
/api/v2/admin/charge-calculation/run,POST,USER,403,application/json,json
/api/v2/admin/charge-calculation/run,POST,SUPER_USER,403,application/json,json
/api/v2/admin/charge-calculation/recompute-historic,POST,GUEST,401,application/json,json
/api/v2/admin/charge-calculation/recompute-historic,POST,SUPER_ADMIN,200,application/json,json
/api/v2/admin/charge-calculation/recompute-historic,POST,ADMIN,200,application/json,json
/api/v2/admin/charge-calculation/recompute-historic,POST,USER,403,application/json,json
/api/v2/admin/charge-calculation/recompute-historic,POST,SUPER_USER,403,application/json,json
/api/v2/admin/logo/upload,POST,GUEST,401,application/json,json
/api/v2/admin/logo/upload,POST,SUPER_ADMIN,422,application/json,json
/api/v2/admin/logo/upload,POST,ADMIN,403,application/json,json
/api/v2/admin/logo/upload,POST,USER,403,application/json,json
/api/v2/admin/logo/upload,POST,SUPER_USER,403,application/json,json
/api/v2/admin/logo,GET,GUEST,200,application/json,json
/api/v2/admin/logo,GET,SUPER_ADMIN,200,application/json,json
/api/v2/admin/logo,GET,ADMIN,200,application/json,json
/api/v2/admin/logo,GET,USER,200,application/json,json
/api/v2/admin/logo,GET,SUPER_USER,200,application/json,json
/api/v2/admin/logo,DELETE,GUEST,401,application/json,json
/api/v2/admin/logo,DELETE,SUPER_ADMIN,200,application/json,json
/api/v2/admin/logo,DELETE,ADMIN,403,application/json,json
/api/v2/admin/logo,DELETE,USER,403,application/json,json
/api/v2/admin/logo,DELETE,SUPER_USER,403,application/json,json
/api/v2/admin/option-chain/recalibrate-atm,POST,GUEST,401,application/json,json
/api/v2/admin/option-chain/recalibrate-atm,POST,SUPER_ADMIN,200,application/json,json
/api/v2/admin/option-chain/recalibrate-atm,POST,ADMIN,403,application/json,json
/api/v2/admin/option-chain/recalibrate-atm,POST,USER,403,application/json,json
/api/v2/admin/option-chain/recalibrate-atm,POST,SUPER_USER,403,application/json,json
/api/v2/admin/option-chain/rebuild-skeleton,POST,GUEST,401,application/json,json
/api/v2/admin/option-chain/rebuild-skeleton,POST,SUPER_ADMIN,ERR,,ReadTimeout
/api/v2/admin/option-chain/rebuild-skeleton,POST,ADMIN,403,application/json,json
/api/v2/admin/option-chain/rebuild-skeleton,POST,USER,403,application/json,json
/api/v2/admin/option-chain/rebuild-skeleton,POST,SUPER_USER,403,application/json,json
/api/v2/market/underlying-ltp/{symbol},GET,GUEST,200,application/json,json
/api/v2/market/underlying-ltp/{symbol},GET,SUPER_ADMIN,200,application/json,json
/api/v2/market/underlying-ltp/{symbol},GET,ADMIN,200,application/json,json
/api/v2/market/underlying-ltp/{symbol},GET,USER,200,application/json,json
/api/v2/market/underlying-ltp/{symbol},GET,SUPER_USER,200,application/json,json
/api/v2/market/quote,GET,GUEST,422,application/json,json
/api/v2/market/quote,GET,SUPER_ADMIN,422,application/json,json
/api/v2/market/quote,GET,ADMIN,422,application/json,json
/api/v2/market/quote,GET,USER,422,application/json,json
/api/v2/market/quote,GET,SUPER_USER,422,application/json,json
/api/v2/market/snapshot/{token},GET,GUEST,404,application/json,json
/api/v2/market/snapshot/{token},GET,SUPER_ADMIN,404,application/json,json
/api/v2/market/snapshot/{token},GET,ADMIN,404,application/json,json
/api/v2/market/snapshot/{token},GET,USER,404,application/json,json
/api/v2/market/snapshot/{token},GET,SUPER_USER,404,application/json,json
/api/v2/market/stream-status,GET,GUEST,200,application/json,json
/api/v2/market/stream-status,GET,SUPER_ADMIN,200,application/json,json
/api/v2/market/stream-status,GET,ADMIN,200,application/json,json
/api/v2/market/stream-status,GET,USER,200,application/json,json
/api/v2/market/stream-status,GET,SUPER_USER,200,application/json,json
/api/v2/market/etf-tierb-status,GET,GUEST,200,application/json,json
/api/v2/market/etf-tierb-status,GET,SUPER_ADMIN,200,application/json,json
/api/v2/market/etf-tierb-status,GET,ADMIN,200,application/json,json
/api/v2/market/etf-tierb-status,GET,USER,200,application/json,json
/api/v2/market/etf-tierb-status,GET,SUPER_USER,200,application/json,json
/api/v2/market/stream-reconnect,POST,GUEST,ERR,,ReadTimeout
/api/v2/market/stream-reconnect,POST,SUPER_ADMIN,ERR,,ReadTimeout
/api/v2/market/stream-reconnect,POST,ADMIN,ERR,,ReadTimeout
/api/v2/market/stream-reconnect,POST,USER,ERR,,ReadTimeout
/api/v2/market/stream-reconnect,POST,SUPER_USER,ERR,,ReadTimeout
/api/v2/options/live,GET,GUEST,422,application/json,json
/api/v2/options/live,GET,SUPER_ADMIN,422,application/json,json
/api/v2/options/live,GET,ADMIN,422,application/json,json
/api/v2/options/live,GET,USER,422,application/json,json
/api/v2/options/live,GET,SUPER_USER,422,application/json,json
/api/v2/options/available/expiries,GET,GUEST,422,application/json,json
/api/v2/options/available/expiries,GET,SUPER_ADMIN,422,application/json,json
/api/v2/options/available/expiries,GET,ADMIN,422,application/json,json
/api/v2/options/available/expiries,GET,USER,422,application/json,json
/api/v2/options/available/expiries,GET,SUPER_USER,422,application/json,json
/api/v2/watchlist/{user_id},GET,GUEST,422,application/json,json
/api/v2/watchlist/{user_id},GET,SUPER_ADMIN,422,application/json,json
/api/v2/watchlist/{user_id},GET,ADMIN,422,application/json,json
/api/v2/watchlist/{user_id},GET,USER,422,application/json,json
/api/v2/watchlist/{user_id},GET,SUPER_USER,422,application/json,json
/api/v2/watchlist/add,POST,GUEST,401,application/json,json
